HoursAsleep,MaxMovements
6.608,7
6.068,9.1
6.475,9.2
5.86,9.3
8.786,9.4
4.486,9.5
5.571,10
5.485,10.8
7.656,11.1
6.451,11.1
5.419,11.3
6.45,11.5
6.026,11.7
7.397,11.7
9.496,12.3
