StartDate,StartTime,EndDate,EndTime,HoursAsleep,SleepQuality
"2021-12-19 00:00:00","1:44 AM","2021-12-19 00:00:00","10:32 AM",8.361,99%
"2020-12-13 00:00:00","12:30 AM","2020-12-13 00:00:00","9:47 AM",9.099,99%
"2020-11-23 00:00:00","1:32 AM","2020-11-23 00:00:00","10:16 AM",8.318,99%
"2020-12-31 00:00:00","1:49 AM","2020-12-31 00:00:00","10:34 AM",7.59,99%
"2020-06-21 00:00:00","12:45 AM","2020-06-21 00:00:00","10:20 AM",9.237,99%
"2020-06-26 00:00:00","2:12 AM","2020-06-26 00:00:00","10:51 AM",8.596,99%
"2021-09-04 00:00:00","1:38 AM","2021-09-04 00:00:00","10:12 AM",8.023,98%
"2021-07-02 00:00:00","11:41 PM","2021-07-03 00:00:00","10:15 AM",8.941,98%
"2021-02-28 00:00:00","12:11 AM","2021-02-28 00:00:00","9:18 AM",8.663,98%
"2020-04-21 00:00:00","8:01 PM","2020-04-22 00:00:00","5:51 AM",9.514,98%
